"treatment","k","k_numeric","max_depth","repeat_id","fold_id","f1","n_train","n_valid","positive_rate_valid"
"k=3","k=3","k=3","None",1,1,0.84526558891455,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",1,2,0.798029556650246,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",1,3,0.836538461538462,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",2,1,0.819905213270142,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",2,2,0.796068796068796,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",2,3,0.815347721822542,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",3,1,0.810551558752998,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",3,2,0.799043062200957,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",3,3,0.828915662650602,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",4,1,0.83764705882353,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",4,2,0.830985915492958,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",4,3,0.799019607843137,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",5,1,0.851764705882353,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",5,2,0.812652068126521,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",5,3,0.807692307692308,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",6,1,0.837320574162679,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",6,2,0.822115384615385,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",6,3,0.789346246973366,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",7,1,0.80188679245283,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",7,2,0.835680751173709,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",7,3,0.812807881773399,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",8,1,0.845794392523364,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",8,2,0.816229116945107,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",8,3,0.782178217821782,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",9,1,0.777227722772277,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",9,2,0.821515892420538,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",9,3,0.822170900692841,3334,1666,0.141056422569028
"k=3","k=3","k=3","None",10,1,0.810185185185185,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",10,2,0.817307692307692,3333,1667,0.141571685662867
"k=3","k=3","k=3","None",10,3,0.790123456790124,3334,1666,0.141056422569028
"k=5","k=5","k=5","None",1,1,0.853754940711463,4001,999,0.141141141141141
"k=5","k=5","k=5","None",1,2,0.833333333333333,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",1,3,0.847058823529412,4000,1000,0.141
"k=5","k=5","k=5","None",1,4,0.770428015564202,4000,1000,0.141
"k=5","k=5","k=5","None",1,5,0.793522267206478,4000,1000,0.142
"k=5","k=5","k=5","None",2,1,0.806324110671937,4000,1000,0.141
"k=5","k=5","k=5","None",2,2,0.849420849420849,4001,999,0.141141141141141
"k=5","k=5","k=5","None",2,3,0.852713178294574,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",2,4,0.84251968503937,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",2,5,0.780487804878049,4001,999,0.141141141141141
"k=5","k=5","k=5","None",3,1,0.835249042145594,4000,1000,0.141
"k=5","k=5","k=5","None",3,2,0.816,4000,1000,0.141
"k=5","k=5","k=5","None",3,3,0.831372549019608,4000,1000,0.142
"k=5","k=5","k=5","None",3,4,0.841698841698842,4000,1000,0.142
"k=5","k=5","k=5","None",3,5,0.776371308016878,4000,1000,0.141
"k=5","k=5","k=5","None",4,1,0.824902723735409,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",4,2,0.8359375,4000,1000,0.142
"k=5","k=5","k=5","None",4,3,0.825910931174089,4001,999,0.141141141141141
"k=5","k=5","k=5","None",4,4,0.862745098039216,4000,1000,0.141
"k=5","k=5","k=5","None",4,5,0.781893004115226,4000,1000,0.141
"k=5","k=5","k=5","None",5,1,0.801587301587302,4000,1000,0.141
"k=5","k=5","k=5","None",5,2,0.774193548387097,4000,1000,0.142
"k=5","k=5","k=5","None",5,3,0.8,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",5,4,0.858267716535433,4001,999,0.141141141141141
"k=5","k=5","k=5","None",5,5,0.838709677419355,4000,1000,0.141
"k=5","k=5","k=5","None",6,1,0.818897637795276,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",6,2,0.840466926070039,4000,1000,0.142
"k=5","k=5","k=5","None",6,3,0.8,4000,1000,0.141
"k=5","k=5","k=5","None",6,4,0.8,4001,999,0.141141141141141
"k=5","k=5","k=5","None",6,5,0.804780876494024,4000,1000,0.141
"k=5","k=5","k=5","None",7,1,0.806451612903226,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",7,2,0.862595419847328,4000,1000,0.141
"k=5","k=5","k=5","None",7,3,0.788381742738589,4000,1000,0.141
"k=5","k=5","k=5","None",7,4,0.78740157480315,4000,1000,0.142
"k=5","k=5","k=5","None",7,5,0.857142857142857,4001,999,0.141141141141141
"k=5","k=5","k=5","None",8,1,0.833333333333333,4000,1000,0.141
"k=5","k=5","k=5","None",8,2,0.817813765182186,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",8,3,0.8,4001,999,0.141141141141141
"k=5","k=5","k=5","None",8,4,0.84375,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",8,5,0.782608695652174,4001,999,0.141141141141141
"k=5","k=5","k=5","None",9,1,0.825396825396825,4000,1000,0.141
"k=5","k=5","k=5","None",9,2,0.811475409836066,4001,999,0.141141141141141
"k=5","k=5","k=5","None",9,3,0.742616033755274,4000,1000,0.141
"k=5","k=5","k=5","None",9,4,0.826254826254826,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",9,5,0.873563218390805,4000,1000,0.142
"k=5","k=5","k=5","None",10,1,0.828685258964143,4001,999,0.141141141141141
"k=5","k=5","k=5","None",10,2,0.833333333333333,3999,1001,0.141858141858142
"k=5","k=5","k=5","None",10,3,0.830769230769231,4000,1000,0.142
"k=5","k=5","k=5","None",10,4,0.809716599190283,4000,1000,0.141
"k=5","k=5","k=5","None",10,5,0.833976833976834,4000,1000,0.141
"k=10","k=10","k=10","None",1,1,0.818897637795276,4500,500,0.142
"k=10","k=10","k=10","None",1,2,0.783333333333333,4500,500,0.14
"k=10","k=10","k=10","None",1,3,0.80672268907563,4501,499,0.140280561122244
"k=10","k=10","k=10","None",1,4,0.887218045112782,4500,500,0.142
"k=10","k=10","k=10","None",1,5,0.82258064516129,4499,501,0.141716566866267
"k=10","k=10","k=10","None",1,6,0.825396825396825,4499,501,0.141716566866267
"k=10","k=10","k=10","None",1,7,0.844444444444445,4500,500,0.142
"k=10","k=10","k=10","None",1,8,0.796747967479675,4501,499,0.140280561122244
"k=10","k=10","k=10","None",1,9,0.854961832061069,4500,500,0.142
"k=10","k=10","k=10","None",1,10,0.806451612903226,4500,500,0.142
"k=10","k=10","k=10","None",2,1,0.737704918032787,4501,499,0.140280561122244
"k=10","k=10","k=10","None",2,2,0.793893129770992,4500,500,0.142
"k=10","k=10","k=10","None",2,3,0.819672131147541,4500,500,0.142
"k=10","k=10","k=10","None",2,4,0.821705426356589,4500,500,0.142
"k=10","k=10","k=10","None",2,5,0.870229007633588,4500,500,0.142
"k=10","k=10","k=10","None",2,6,0.824427480916031,4500,500,0.14
"k=10","k=10","k=10","None",2,7,0.796610169491525,4501,499,0.140280561122244
"k=10","k=10","k=10","None",2,8,0.857142857142857,4500,500,0.142
"k=10","k=10","k=10","None",2,9,0.878787878787879,4499,501,0.141716566866267
"k=10","k=10","k=10","None",2,10,0.825396825396825,4499,501,0.141716566866267
"k=10","k=10","k=10","None",3,1,0.8,4499,501,0.141716566866267
"k=10","k=10","k=10","None",3,2,0.770491803278688,4500,500,0.14
"k=10","k=10","k=10","None",3,3,0.758064516129032,4500,500,0.142
"k=10","k=10","k=10","None",3,4,0.89922480620155,4501,499,0.140280561122244
"k=10","k=10","k=10","None",3,5,0.850393700787402,4500,500,0.142
"k=10","k=10","k=10","None",3,6,0.892307692307692,4500,500,0.142
"k=10","k=10","k=10","None",3,7,0.828125,4501,499,0.140280561122244
"k=10","k=10","k=10","None",3,8,0.859375,4499,501,0.141716566866267
"k=10","k=10","k=10","None",3,9,0.773109243697479,4500,500,0.142
"k=10","k=10","k=10","None",3,10,0.75,4500,500,0.142
"k=10","k=10","k=10","None",4,1,0.852713178294574,4500,500,0.142
"k=10","k=10","k=10","None",4,2,0.82962962962963,4501,499,0.140280561122244
"k=10","k=10","k=10","None",4,3,0.900763358778626,4499,501,0.141716566866267
"k=10","k=10","k=10","None",4,4,0.854961832061069,4500,500,0.142
"k=10","k=10","k=10","None",4,5,0.829268292682927,4500,500,0.142
"k=10","k=10","k=10","None",4,6,0.768,4501,499,0.140280561122244
"k=10","k=10","k=10","None",4,7,0.828125,4500,500,0.142
"k=10","k=10","k=10","None",4,8,0.766666666666667,4499,501,0.141716566866267
"k=10","k=10","k=10","None",4,9,0.841269841269841,4500,500,0.14
"k=10","k=10","k=10","None",4,10,0.816,4500,500,0.142
"k=10","k=10","k=10","None",5,1,0.8125,4501,499,0.140280561122244
"k=10","k=10","k=10","None",5,2,0.770491803278688,4500,500,0.142
"k=10","k=10","k=10","None",5,3,0.816,4500,500,0.142
"k=10","k=10","k=10","None",5,4,0.854838709677419,4500,500,0.142
"k=10","k=10","k=10","None",5,5,0.825396825396825,4499,501,0.141716566866267
"k=10","k=10","k=10","None",5,6,0.784,4500,500,0.142
"k=10","k=10","k=10","None",5,7,0.850393700787402,4499,501,0.141716566866267
"k=10","k=10","k=10","None",5,8,0.80952380952381,4501,499,0.140280561122244
"k=10","k=10","k=10","None",5,9,0.873015873015873,4500,500,0.14
"k=10","k=10","k=10","None",5,10,0.82089552238806,4500,500,0.142
"k=10","k=10","k=10","None",6,1,0.837209302325581,4499,501,0.141716566866267
"k=10","k=10","k=10","None",6,2,0.850393700787402,4500,500,0.142
"k=10","k=10","k=10","None",6,3,0.768,4500,500,0.142
"k=10","k=10","k=10","None",6,4,0.816,4499,501,0.141716566866267
"k=10","k=10","k=10","None",6,5,0.769230769230769,4499,501,0.141716566866267
"k=10","k=10","k=10","None",6,6,0.850393700787402,4500,500,0.142
"k=10","k=10","k=10","None",6,7,0.786885245901639,4500,500,0.142
"k=10","k=10","k=10","None",6,8,0.909090909090909,4501,499,0.140280561122244
"k=10","k=10","k=10","None",6,9,0.816,4501,499,0.140280561122244
"k=10","k=10","k=10","None",6,10,0.852459016393443,4501,499,0.140280561122244
"k=10","k=10","k=10","None",7,1,0.825396825396825,4500,500,0.142
"k=10","k=10","k=10","None",7,2,0.835820895522388,4499,501,0.141716566866267
"k=10","k=10","k=10","None",7,3,0.806451612903226,4499,501,0.141716566866267
"k=10","k=10","k=10","None",7,4,0.796875,4499,501,0.141716566866267
"k=10","k=10","k=10","None",7,5,0.784,4500,500,0.142
"k=10","k=10","k=10","None",7,6,0.833333333333333,4500,500,0.142
"k=10","k=10","k=10","None",7,7,0.829268292682927,4501,499,0.140280561122244
"k=10","k=10","k=10","None",7,8,0.82258064516129,4500,500,0.142
"k=10","k=10","k=10","None",7,9,0.850393700787402,4501,499,0.140280561122244
"k=10","k=10","k=10","None",7,10,0.850393700787402,4501,499,0.140280561122244
"k=10","k=10","k=10","None",8,1,0.897058823529412,4500,500,0.14
"k=10","k=10","k=10","None",8,2,0.818181818181818,4499,501,0.141716566866267
"k=10","k=10","k=10","None",8,3,0.818897637795276,4500,500,0.142
"k=10","k=10","k=10","None",8,4,0.8,4500,500,0.142
"k=10","k=10","k=10","None",8,5,0.816,4500,500,0.142
"k=10","k=10","k=10","None",8,6,0.818897637795276,4500,500,0.142
"k=10","k=10","k=10","None",8,7,0.852459016393443,4501,499,0.140280561122244
"k=10","k=10","k=10","None",8,8,0.768,4500,500,0.142
"k=10","k=10","k=10","None",8,9,0.8125,4501,499,0.140280561122244
"k=10","k=10","k=10","None",8,10,0.790322580645161,4499,501,0.141716566866267
"k=10","k=10","k=10","None",9,1,0.780487804878049,4501,499,0.140280561122244
"k=10","k=10","k=10","None",9,2,0.780487804878049,4500,500,0.142
"k=10","k=10","k=10","None",9,3,0.705882352941176,4500,500,0.142
"k=10","k=10","k=10","None",9,4,0.857142857142857,4499,501,0.141716566866267
"k=10","k=10","k=10","None",9,5,0.848484848484849,4500,500,0.14
"k=10","k=10","k=10","None",9,6,0.866141732283465,4499,501,0.141716566866267
"k=10","k=10","k=10","None",9,7,0.87218045112782,4500,500,0.142
"k=10","k=10","k=10","None",9,8,0.852713178294574,4500,500,0.142
"k=10","k=10","k=10","None",9,9,0.848,4501,499,0.140280561122244
"k=10","k=10","k=10","None",9,10,0.803149606299213,4500,500,0.142
"k=10","k=10","k=10","None",10,1,0.870229007633588,4499,501,0.141716566866267
"k=10","k=10","k=10","None",10,2,0.828125,4499,501,0.141716566866267
"k=10","k=10","k=10","None",10,3,0.773109243697479,4500,500,0.14
"k=10","k=10","k=10","None",10,4,0.80952380952381,4500,500,0.142
"k=10","k=10","k=10","None",10,5,0.793388429752066,4500,500,0.142
"k=10","k=10","k=10","None",10,6,0.885496183206107,4500,500,0.142
"k=10","k=10","k=10","None",10,7,0.776859504132231,4500,500,0.142
"k=10","k=10","k=10","None",10,8,0.878787878787879,4501,499,0.140280561122244
"k=10","k=10","k=10","None",10,9,0.803149606299213,4500,500,0.142
"k=10","k=10","k=10","None",10,10,0.80327868852459,4501,499,0.140280561122244
